,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EEK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,JPY,KRW,LTL,LVL,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
2010-01-01,0.023878,0.029174,0.03746,0.022566,0.02213,0.1467,0.39488,0.11101000000000001,0.23340000000000002,0.014915999999999999,0.013247,0.16663,0.10889000000000001,4.0337,203.25,,1.9863,24.866,0.051503999999999994,0.01058,0.28225,0.073577,0.12381,0.029539,0.9920500000000001,0.061224999999999995,0.063191,0.64371,0.15292,0.030122,0.7157800000000001,0.032140999999999996,0.021488999999999998,0.15910000000000002
2010-02-01,0.024406999999999998,0.030312,0.040482,0.023042999999999998,0.022822,0.14722000000000002,0.40397000000000005,0.11539,0.24251000000000003,0.015498999999999999,0.013559,0.16749,0.11338000000000001,4.2055,202.64,,1.9466,25.218,0.053514,0.010983999999999999,0.28114,0.073632,0.12703,0.030646999999999997,1.0054,0.062063999999999994,0.063332,0.65483,0.15719000000000002,0.030455,0.7156800000000001,0.032152,0.021563,0.16326000000000002
2010-03-01,0.024201999999999998,0.031337,0.039209,0.022858,0.023464,0.14793,0.41552000000000006,0.11925000000000001,0.25071000000000004,0.016023,0.014528,0.16826000000000002,0.11627000000000001,4.3173,200.61,,1.9335,25.031,0.055324,0.011363,0.27636000000000005,0.07334399999999999,0.1291,0.031152,0.9994900000000001,0.06313,0.06587000000000001,0.64968,0.15646000000000002,0.030484999999999998,0.7126,0.033454,0.021671,0.16649000000000003
2010-04-01,0.024392999999999998,0.032487,0.039788,0.022626999999999998,0.023552,0.15271,0.42166000000000003,0.12366,0.25991000000000003,0.016611,0.014698,0.17375000000000002,0.12066,4.3982,203.48,,2.0976,25.198,0.057353999999999995,0.011774999999999999,0.27607000000000004,0.072896,0.13317,0.031775,1.0106,0.063882,0.068239,0.6577500000000001,0.16160000000000002,0.031271,0.72438,0.03402,0.022371,0.16282000000000002
2010-05-01,0.024197,0.033113,0.038870999999999996,0.022650999999999998,0.024280000000000003,0.15386000000000002,0.43218,0.12601,0.26491000000000003,0.016930999999999998,0.014735,0.17501000000000003,0.1228,4.5174,203.12,,2.13,24.981,0.058457999999999996,0.011977,0.27505,0.07178899999999999,0.13281,0.030905,1.0021,0.066305,0.069923,0.65756,0.16290000000000002,0.030841999999999998,0.72938,0.03345,0.022543,0.16529000000000002
2010-06-01,0.025464,0.034123,0.038840000000000006,0.022272999999999998,0.024745,0.14485,0.44713,0.12979000000000002,0.27299,0.017447,0.014563,0.16526000000000002,0.12665,4.8261,196.28,,1.9304999999999999,25.792,0.06024,0.012374999999999999,0.27547000000000005,0.070141,0.13856000000000002,0.031501999999999995,0.9893900000000001,0.07177599999999999,0.073046,0.66349,0.16777,0.029996,0.6910200000000001,0.033651,0.021207,0.16388000000000003
2010-07-01,0.025665,0.034025,0.038859,0.022831,0.022924999999999997,0.14543,0.44831000000000004,0.12958,0.27221,0.017397,0.014303,0.16711,0.12513000000000002,5.0007,194.17,,1.8813,26.351,0.060066999999999995,0.01234,0.27763000000000004,0.06935899999999999,0.13996,0.031422,0.9968500000000001,0.072666,0.075575,0.6711800000000001,0.16704000000000002,0.029966,0.6953,0.034013999999999996,0.021446999999999997,0.16674000000000003
2010-08-01,0.023930999999999997,0.032354,0.037922,0.022255999999999998,0.0224,0.14601,0.40988,0.12326000000000001,0.25884,0.016543,0.013810999999999999,0.16738,0.1197,4.7249,192.67,,1.863,25.525,0.057117999999999995,0.011725,0.27418000000000003,0.06855599999999999,0.13136,0.029797999999999998,0.9816900000000001,0.066311,0.07031899999999999,0.6520600000000001,0.15605000000000002,0.029335,0.6955800000000001,0.032594,0.021551999999999998,0.15817
2010-09-01,0.023599,0.032639,0.03733,0.022629,0.021639,0.14550000000000002,0.41278000000000004,0.12424000000000002,0.26112,0.016687999999999998,0.013869,0.16612000000000002,0.12145000000000002,4.7778,192.11,,1.7946,25.311,0.057621,0.011833999999999999,0.28058,0.066831,0.13255,0.030225,0.96357,0.066579,0.071171,0.6567900000000001,0.15602000000000002,0.028832,0.6659,0.032517,0.021360999999999998,0.15719000000000002
2010-10-01,0.023107,0.03202,0.037714,0.02306,0.021976,0.15036000000000002,0.39980000000000004,0.12201000000000001,0.25617,0.016371999999999998,0.014204,0.17438,0.11954000000000001,4.4834,200.26,,1.8706,25.312,0.056527999999999995,0.011611,0.28151000000000004,0.069337,0.13163,0.03037,0.98338,0.064455,0.06983299999999999,0.6843400000000001,0.15092,0.029495,0.6788200000000001,0.032507999999999995,0.022472,0.15573
